
Hyderabad,Theatre1,Movie1,Movie2,Movie3,10,20,15
Tirupati,Theatre2,Movie1,Movie2,Movie4,10,20,15
Pune,Theatre3,Movie5,Movie3,Movie1,10,20,15
Mumbai,Theatre4,Movie6,Movie1,Movie2,10,20,15
Tirupati,Theatre5,Movie8,Movie1,Movie2,10,20,15
Mumbai,Theatre6,Movie9,Movie8,Movie4,10,20,15
vizag,Theatre7,Movie10,Movie1,Movie3,10,20,15
nizambad,Theatre8,Movie1,Movie10,Movie5,10,20,15
warangal,TheatreN,Movie5,Movie8,Movie9,10,20,15
Tirupati,Theatre10,Movie2,Movie7,Movie6,10,20,15
nizambad,tnew,m1,m2,m3,10,20,15
CS24B,004,movieCS,Movie1,Movie2,15,25,30
